station_no,name_tw,parking_spaces,lat,lng
500104087,基河文林路口,16,25.08637,121.5247
500104088,文林福華路口,19,25.10094,121.52243
500104089,劍潭海外青年活動中心_1,24,25.0796,121.5237
500104090,社子國小_1,20,25.09029,121.50189
500104091,捷運劍潭站(1號出口),70,25.08577,121.52531
500104092,德行東山路口,12,25.1107,121.53999
500104094,重慶北通河西街口,12,25.08756,121.51177
500104095,葫蘆國小(延平北路五段285巷),15,25.08406,121.5067
500104096,社子市場,15,25.0881,121.50873
500104097,士林區農會社子分部,8,25.08912,121.5049
500104098,承德劍潭路口,19,25.0841,121.52341
500104099,文林路101巷口,17,25.08761,121.52608
500104100,延平北路五段257巷15弄口,11,25.08408,121.50959
500104101,延平北路五段257巷4弄口,15,25.08471,121.5089
500104102,啟明學校,16,25.11742,121.53472
500104103,中山福國路口,14,25.10203,121.52561
500104104,德行公園,14,25.10585,121.52376
500104105,承德後港街口,11,25.08238,121.52309
500104106,中山北路五段698巷口,15,25.09765,121.52757
500104107,捷運士林站(1號出口),38,25.09561,121.52552
500104108,捷運芝山站(2號出口)_1,62,25.10336,121.52263
500104109,銘傳大學(中山北路五段280巷口),23,25.08762,121.52711
500104110,海光公園南側,12,25.08036,121.5084
500104111,士商路40巷口,15,25.09013,121.52054
500104112,劍潭郵局,16,25.08182,121.52431
500104113,士東路91巷口,16,25.11247,121.52914
500104114,美崙公園,13,25.09677,121.51931
500104115,臺北市立大學(忠誠路二段207巷),17,25.11642,121.53743
500104116,天母東路8巷/忠誠路二段154巷口,14,25.11579,121.53113
500104117,美崙公園(東北側),15,25.09886,121.51835
500104118,福安河濱公園,14,25.09646,121.49358
500104119,忠誠忠義街口(北側),13,25.10566,121.52922
500104120,忠誠忠義街口(南側),14,25.10519,121.52869
500104121,士林國小,15,25.09204,121.52472
500105001,台北花木批發市場,40,25.00402,121.54074
500105002,捷運萬隆站(4號出口),22,25.0027,121.53861
500105003,捷運萬隆站(1號出口),34,25.00115,121.53916
500105004,萬和二號公園,26,25.00154,121.5364
500105005,捷運萬隆站(2號出口),12,25.00144,121.53983
500105006,景仁公園,16,24.99621,121.54043
500105007,捷運景美站(2號出口),63,24.99366,121.54124
500105008,羅斯福景隆街口,25,24.99898,121.5403
500105009,景福街/羅斯福路6段142巷口,28,24.99812,121.53663
500105010,興旺公園,30,25.00587,121.55012
500105011,興福國中,25,25.00465,121.54916
500105012,興隆路2段203巷,32,25.00346,121.54709
500105013,景美運動公園,11,25.00219,121.54454
500105014,景美醫院,18,24.99136,121.54008
500105015,師範大學公館校區,14,25.00792,121.53731
500105016,景華街128巷口,31,24.99543,121.54725
500105017,仙跡岩登山口(景興路),22,24.99118,121.5436
500105018,國立政治大學,35,24.98737,121.57726
500105019,捷運動物園站,57,24.99873,121.57985
500105020,捷運木柵站,31,24.99798,121.57455
500105021,捷運萬芳社區站,31,24.99886,121.56769
500105022,文山運動中心,30,24.99676,121.5596
500105023,捷運辛亥站,29,25.00467,121.55684
500105024,興豐公園,25,24.99982,121.54761
500105025,木柵光輝路口,33,24.98816,121.55528
500105026,考試院,26,24.98747,121.54984
500105027,和興路26巷口,22,24.98573,121.54532
500105028,世新大學,30,24.98859,121.54336
500105029,一壽橋,28,24.97837,121.55548
500105030,臺北市立景美女中,25,24.98058,121.55624
500105031,永安藝文館-表演36房,29,24.98414,121.56907
500105032,忠順區民活動中心,31,24.98471,121.56332
500105033,景文中學,36,24.98574,121.56745
500105034,老泉街籃球場,14,24.97619,121.5583
500105035,文山行政中心,27,24.98959,121.56959
500105036,木柵公園,25,24.98718,121.56059
500105037,興隆公共住宅D2區,19,24.98814,121.56356
500105038,木新路3段95巷口,16,24.98088,121.56313
500105039,樟腳里公園,15,24.98181,121.56567
500105040,實踐國中,13,24.98301,121.55404
500105041,指南路3段2巷,13,24.98537,121.57959
500105042,萊茵公園,14,24.98642,121.56514
500105043,木柵社會住宅,12,24.98935,121.56651
500105044,秀明路一段185巷口,20,24.99151,121.56836
500105045,秀明路一段129巷口,22,24.99111,121.56703
500105046,恆光橋(老泉街),13,24.97989,121.56753
500105047,萬有3號公園,14,24.99889,121.5433
500105048,捷運萬芳醫院站(興隆路三段115巷),20,24.99939,121.55848
500105049,興得閱覽室,24,24.99579,121.55498
500105050,辛亥生態公園,18,25.00348,121.55642
500105051,博嘉運動公園,12,25.00079,121.57534
500105052,國立政治大學(萬壽路),54,24.98841,121.57649
500105053,仙岩公園,11,24.99797,121.54982
500105054,政大一街口,14,24.98543,121.58006
500105055,文山第二行政中心,30,25.00115,121.55142
500105056,移民署訓練中心,13,24.99271,121.55865
500105057,海巡署(南側),10,24.99472,121.55949
500105058,明道國小東南側,18,24.98695,121.56456
500105059,木南公園,12,24.98662,121.57071
500105060,實踐國中(木新路三段310巷口),17,24.98339,121.55645
500105061,師範大學公館校區_1,34,25.00753,121.53719
500105062,捷運動物園站(2號出口),39,24.99766,121.57875
500105063,政大水岸電梯,10,24.982,121.5717
500105064,敦南山林,14,25.00264,121.5768
500105066,景美污水抽水站,15,25.01076,121.53637
500105067,萬和三號公園(北側),13,25.00345,121.53636
500105068,景興國中,10,24.99609,121.54284
500105069,景仁公園_1,30,24.9966,121.5403
500105070,師大公館校區學二舍,40,25.00825,121.53419
500105071,景行公園,15,24.99279,121.54255
500105072,萬興國小,16,24.98939,121.57682
