站點編號,2月20日見車率,3月22日見車率,對應站名,消長幅度,色票,分類,lat,lng
500101230,88.89%,84.26%,安和路二段69巷口,-4.63%,#FBB1BD,-5%以內,25.03056,121.55252
500101231,,92.04%,大安國小,92.04%,#FEDD88,90%以上、未滿100%,25.02014,121.55084
500101232,,75.56%,捷運古亭站(3號出口),75.56%,#CDCDCD,無法比較,25.02572,121.52359
500101233,,86.20%,捷運忠孝復興站(3號出口),86.20%,#CDCDCD,無法比較,25.04152,121.54414
500101234,,77.69%,和平東路二段90巷,77.69%,#CDCDCD,無法比較,25.02468,121.53965
500101235,,92.31%,光復南路420巷口,92.31%,#FEDD88,90%以上、未滿100%,25.03601,121.55742
500101236,,90.22%,富陽臥龍街口,90.22%,#FEDD88,90%以上、未滿100%,25.0187,121.55688
500101237,,76.00%,仁愛復興路口,76.00%,#CDCDCD,無法比較,25.03817,121.544
500103001,70.56%,94.35%,延平國宅,23.80%,#FEDD88,90%以上、未滿100%,25.07894,121.51121
500103002,83.80%,98.24%,臺北市立圖書館大同分館,14.44%,#FEDD88,90%以上、未滿100%,25.0741,121.51349
500103003,90.09%,100.00%,合昌宮,9.91%,#FEB700,100%,25.07717,121.50934
500103004,98.52%,98.70%,民族延平路口,0.19%,#FEDD88,90%以上、未滿100%,25.06864,121.5107
500103005,89.81%,96.94%,重慶酒泉街口,7.13%,#FEDD88,90%以上、未滿100%,25.07158,121.51368
500103006,83.24%,100.00%,樹德公園,16.76%,#FEB700,100%,25.06647,121.5165
500103007,95.93%,100.00%,陳天來故居,4.07%,#FEB700,100%,25.05601,121.50895
500103008,93.06%,95.19%,臺北孔廟,2.13%,#FEDD88,90%以上、未滿100%,25.07378,121.51583
500103009,93.52%,89.26%,捷運圓山站(1號出口),-4.26%,#FBB1BD,-5%以內,25.07133,121.52024
500103010,90.09%,100.00%,酒泉延平路口,9.91%,#FEB700,100%,25.0722,121.51057
500103011,84.63%,94.91%,重慶國中,10.28%,#FEDD88,90%以上、未滿100%,25.07567,121.51862
500103012,87.04%,75.74%,重慶北路三段383巷口,-11.30%,#B1112B,-10%以上,25.07598,121.51409
500103013,97.22%,83.06%,台北數位產業園區,-14.17%,#B1112B,-10%以上,25.07447,121.52003
500103019,88.43%,96.30%,民權延平路口(西北側),7.87%,#FEDD88,90%以上、未滿100%,25.06326,121.51099
500103020,86.02%,100.00%,民權迪化街口,13.98%,#FEB700,100%,25.06327,121.50943
500103021,100.00%,100.00%,大稻埕公園,0.00%,#FEB700,100%,25.05915,121.51033
500103022,84.54%,93.52%,大龍老人住宅,8.98%,#FEDD88,90%以上、未滿100%,25.06853,121.51729
500103023,98.43%,91.39%,大龍峒社會住宅,-7.04%,#FEDD88,90%以上、未滿100%,25.0708,121.51826
500103024,97.04%,100.00%,捷運大橋頭站(2號出口),2.96%,#FEB700,100%,25.06314,121.51308
500103025,88.70%,92.87%,捷運大橋頭站(1A出口),4.17%,#FEDD88,90%以上、未滿100%,25.06325,121.51162
500103026,83.98%,81.57%,捷運民權西路站(2號出口),-2.41%,#FBB1BD,-5%以內,25.06174,121.51969
500103027,100.00%,90.46%,捷運雙連站(2號出口),-9.54%,#FEDD88,90%以上、未滿100%,25.05826,121.52063
500103028,91.85%,92.41%,捷運北門站(3號出口),0.56%,#FEDD88,90%以上、未滿100%,25.04991,121.5104
500103029,100.00%,96.94%,朝陽公園,-3.06%,#FEDD88,90%以上、未滿100%,25.05592,121.51367
500103030,98.61%,100.00%,永樂市場,1.39%,#FEB700,100%,25.05454,121.51052
500103031,96.85%,84.54%,大龍公園,-12.31%,#B1112B,-10%以上,25.07049,121.51596
500103032,96.11%,91.67%,重慶涼州街口,-4.44%,#FEDD88,90%以上、未滿100%,25.06054,121.51338
500103033,80.28%,77.22%,圓山線形公園,-3.06%,#FBB1BD,-5%以內,25.06867,121.51993
500103034,100.00%,98.89%,圓環站,-1.11%,#FEDD88,90%以上、未滿100%,25.05369,121.51418
500103035,92.59%,92.59%,重慶民族路口,0.00%,#FEDD88,90%以上、未滿100%,25.06853,121.51359
500103036,96.67%,92.04%,承德路三段8巷口,-4.63%,#FEDD88,90%以上、未滿100%,25.06407,121.51822
500103037,100.00%,100.00%,太原廣場,0.00%,#FEB700,100%,25.04925,121.51468
500103038,86.48%,98.89%,國順公園,12.41%,#FEDD88,90%以上、未滿100%,25.06594,121.51078
500103039,99.72%,100.00%,聯合醫院中興院區,0.28%,#FEB700,100%,25.05205,121.50818
500103040,99.35%,100.00%,蔣渭水紀念公園,0.65%,#FEB700,100%,25.06011,121.51729
500103041,82.87%,100.00%,迪化休閒運動公園,17.13%,#FEB700,100%,25.07491,121.5115
500103042,95.09%,99.72%,大同運動中心,4.63%,#FEDD88,90%以上、未滿100%,25.06496,121.51608
500103043,100.00%,98.89%,重慶保安街口(家樂福重慶店),-1.11%,#FEDD88,90%以上、未滿100%,25.05918,121.51373
500103044,100.00%,99.63%,大稻埕碼頭,-0.37%,#FEDD88,90%以上、未滿100%,25.05662,121.50783
500103045,100.00%,98.89%,歸綏戲曲公園,-1.11%,#FEDD88,90%以上、未滿100%,25.05805,121.51353
500103046,94.81%,86.94%,民權國中(民權西路),-7.87%,#D7586D,-5%至-10%,25.06322,121.5144
500103047,100.00%,94.54%,承德民權路口,-5.46%,#FEDD88,90%以上、未滿100%,25.06247,121.51839
500103048,94.63%,90.28%,南京太原路口,-4.35%,#FEDD88,90%以上、未滿100%,25.05366,121.51638
500103049,69.26%,83.80%,承德民生西路口,14.54%,#C09662,+10%以上,25.05756,121.51828
500103050,98.15%,99.07%,太原五原路口,0.93%,#FEDD88,90%以上、未滿100%,25.05646,121.51698
500103051,97.50%,98.15%,臺北轉運站(華陰街),0.65%,#FEDD88,90%以上、未滿100%,25.04937,121.51914
500103052,97.78%,92.69%,捷運民權西路站(3號出口),-5.09%,#FEDD88,90%以上、未滿100%,25.06129,121.52021
500103053,84.54%,87.69%,捷運中山站(5號出口),3.15%,#F0D5BE,+5%以內,25.05296,121.51938
500103054,100.00%,97.69%,重慶長安路口,-2.31%,#FEDD88,90%以上、未滿100%,25.0515,121.51398
500103055,100.00%,97.59%,承德昌吉街口,-2.41%,#FEDD88,90%以上、未滿100%,25.06587,121.51847
500103056,100.00%,90.56%,大同16號廣場,-9.44%,#FEDD88,90%以上、未滿100%,25.05658,121.50826
500103057,100.00%,100.00%,捷運圓山站(2號出口),0.00%,#FEB700,100%,25.07182,121.51929
500103058,91.85%,100.00%,樹德公園_1,8.15%,#FEB700,100%,25.06669,121.51615
500103059,100.00%,100.00%,承德鄭州路口(市民高架下),0.00%,#FEB700,100%,25.04879,121.51626
500103060,100.00%,70.37%,成淵高中,-29.63%,#B1112B,-10%以上,25.06036,121.51996
500103061,93.61%,96.02%,雙蓮國小,2.41%,#FEDD88,90%以上、未滿100%,25.06157,121.51683
500103062,100.00%,93.52%,寧夏涼州街口,-6.48%,#FEDD88,90%以上、未滿100%,25.06095,121.51428
500103063,100.00%,92.41%,延平涼州街口,-7.59%,#FEDD88,90%以上、未滿100%,25.06092,121.51126
500103064,87.50%,90.09%,大同行政中心,2.59%,#FEDD88,90%以上、未滿100%,25.06603,121.51481
500103065,80.83%,85.00%,大龍市場,4.17%,#F0D5BE,+5%以內,25.07473,121.51451
500104001,74.17%,91.57%,劍潭抽水站,17.41%,#FEDD88,90%以上、未滿100%,25.08128,121.51784
500104002,96.85%,100.00%,通河東街大南路口,3.15%,#FEB700,100%,25.08914,121.51542
500104003,98.61%,98.15%,福港街停車場,-0.46%,#FEDD88,90%以上、未滿100%,25.08695,121.51901
500104004,91.57%,88.33%,百齡國小,-3.24%,#FBB1BD,-5%以內,25.08521,121.51918
500104005,93.61%,91.20%,雨聲街165巷口,-2.41%,#FEDD88,90%以上、未滿100%,25.10277,121.53357
